op_name	rs1_hex	rs2_hex	imm_hex	expected_rd_hex
sext_16_positive	0000000000007fff	0000000000000000	0000000000000000	0000000000007fff
sext_16_negative	0000000000008000	0000000000000000	0000000000000000	ffffffffffff8000
clz_64_one	0000000000000001	0000000000000000	0000000000000000	000000000000003f
clz_64_msb	8000000000000000	0000000000000000	0000000000000000	0000000000000000
clz_64_zero	0000000000000000	0000000000000000	0000000000000000	0000000000000040
clz_32_one	0000000000000001	0000000000000000	0000000000000000	000000000000001f
clz_32_msb	0000000080000000	0000000000000000	0000000000000000	0000000000000000
ctz_64_one	0000000000000001	0000000000000000	0000000000000000	0000000000000000
ctz_64_bit4	0000000000000010	0000000000000000	0000000000000000	0000000000000004
ctz_32_bit4	0000000000000010	0000000000000000	0000000000000000	0000000000000004
cpop_64_basic	ff00ff00ff00ff00	0000000000000000	0000000000000000	0000000000000020
cpop_32_basic	00000000ff00ff00	0000000000000000	0000000000000000	0000000000000010
cmov_if_zero_taken	000000000000cafe	0000000000000000	0000000000000000	000000000000cafe
cmov_if_zero_not_taken	000000000000cafe	0000000000000001	0000000000000001	0000000000000000
cmov_if_not_zero_taken	000000000000cafe	0000000000000001	0000000000000001	0000000000000000
cmov_if_not_zero_not_taken	000000000000cafe	0000000000000000	0000000000000000	000000000000cafe
mul_upper_ss_a	fffffffffffffffd	0000000000000002	0000000000000002	ffffffffffffffff
mul_upper_ss_b	7fffffffffffffff	0000000000000002	0000000000000002	0000000000000000
mul_upper_uu_a	ffffffffffffffff	0000000000000002	0000000000000002	0000000000000001
mul_upper_uu_b	8000000000000000	8000000000000000	8000000000000000	4000000000000000
mul_upper_su_a	ffffffffffffffff	ffffffffffffffff	ffffffffffffffff	ffffffffffffffff
mul_upper_su_b	7fffffffffffffff	ffffffffffffffff	ffffffffffffffff	7ffffffffffffffe
